,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp,Timestamp
0,1,Bitcoin,BTC,bitcoin,9764,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio']",21000000.0,19170843.0,19170843.0,,1,,,,2022-10-06T08:48:00.000Z,20151.3983675641,36106249872.205925,6.0864,-0.24829926,0.00897687,4.06420583,0.89912241,-12.28734149,-7.02659946,386319294335.02765,40.0338,423179365718.85,,2022-10-06T08:48:00.000Z,,,,,,2022-10-06 08:51:34.407907+00:00,
1,1027,Ethereum,ETH,ethereum,6127,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem']",,122674645.499,122674645.499,,2,,,,2022-10-06T08:48:00.000Z,1358.7032529459866,11445356156.649334,25.1888,-0.46573049,0.93142507,2.71528845,-18.18831554,-19.19302425,10.10075012,166678439893.48703,17.2727,166678439893.49,,2022-10-06T08:48:00.000Z,,,,,,2022-10-06 08:51:34.407907+00:00,
2,825,Tether,USDT,tether,40518,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin']",,68212574445.55758,70155449905.79822,,3,,,,2022-10-06T08:48:00.000Z,1.0001324294355125,45191488441.099785,5.9593,0.00184414,-0.00919886,0.01052073,0.01330204,0.00048301,0.06883901,68221607798.28626,7.0697,70164740552.43,,2022-10-06T08:48:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2022-10-06 08:51:34.407907+00:00,
3,1839,BNB,BNB,bnb,1121,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'moonriver-ecosystem', 'bnb-chain']",200000000.0,161337261.09,161337261.09,,4,,,,2022-10-06T08:48:00.000Z,294.33223655289373,668810357.937384,-12.0444,-0.10237512,0.29979981,4.95811343,4.71547764,-5.61712004,22.31481142,47486756895.93786,4.921,58866447310.58,,2022-10-06T08:48:00.000Z,,,,,,2022-10-06 08:51:34.407907+00:00,
4,3408,USD Coin,USDC,usd-coin,6444,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,46433644182.94838,46433644182.94838,,5,,,,2022-10-06T08:48:00.000Z,0.9999801448764347,3867255941.868658,4.3295,0.00356685,-0.00276586,-0.01154606,-0.0064049,0.00049945,-0.02453981,46432722237.20554,4.8118,46432722237.21,,2022-10-06T08:48:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2022-10-06 08:51:34.407907+00:00,
5,52,XRP,XRP,xrp,826,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,49858575704.0,99989275183.0,,6,,,,2022-10-06T08:48:00.000Z,0.4929059357020228,2316209193.25328,-5.6824,-0.3562875,2.90667292,12.24237288,47.23478584,32.60644234,39.5540392,24575587910.15026,2.5467,49290593570.2,,2022-10-06T08:48:00.000Z,,,,,,2022-10-06 08:51:34.407907+00:00,
6,4687,Binance USD,BUSD,binance-usd,5234,2019-09-20T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'binance-chain', 'harmony-ecosystem', 'moonriver-ecosystem', 'usd-stablecoin']",,21042229623.12,21042229623.12,,7,,,,2022-10-06T08:48:00.000Z,0.999402543407331,6801881789.553921,3.2956,-0.03227305,-0.24091187,-0.0857216,-0.06164727,-0.07770032,-0.09082976,21029657804.307213,2.1788,21029657804.31,,2022-10-06T08:48:00.000Z,1839.0,BNB,BNB,bnb,BUSD-BD1,2022-10-06 08:51:34.407907+00:00,
7,2010,Cardano,ADA,cardano,577,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano']",45000000000.0,34260404094.545,34988431994.953,,8,,,,2022-10-06T08:48:00.000Z,0.4315119289903991,450606710.8682508,4.1365,-0.25558923,0.51429434,-0.45182288,-14.39349265,-16.51750326,-8.79022781,14783773058.827679,1.532,19418036804.57,,2022-10-06T08:48:00.000Z,,,,,,2022-10-06 08:51:34.407907+00:00,
8,5426,Solana,SOL,solana,389,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio']",,355222187.2000403,511616946.142289,,9,,,,2022-10-06T08:48:00.000Z,33.97783371024377,691342012.5818828,-1.7551,0.03889224,0.73535119,1.93369447,2.80638635,-14.64106252,-8.91746955,12069680406.872053,1.2512,17383635519.37,,2022-10-06T08:48:00.000Z,,,,,,2022-10-06 08:51:34.407907+00:00,
9,74,Dogecoin,DOGE,dogecoin,571,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,132670764299.89409,132670764299.89409,,10,,,,2022-10-06T08:48:00.000Z,0.06499384030386242,532488278.5104098,-46.4747,-0.54456994,0.91546922,7.92099685,2.59811973,-5.10507414,-7.2432658,8622782467.898687,0.8939,8622782467.9,,2022-10-06T08:48:00.000Z,,,,,,2022-10-06 08:51:34.407907+00:00,
