,Job Title,Experience in Years,Skills,Location ,Posted On
0,"
    Veeva Systems
    
    ",0 - 3 yrs,"
      
          bi  ,  sql  ,  crm  ,  san  ,  data analysis  ,  customer success  ,  information management  ,  data analyst  ,  tableau
        
      ",China,"
Posted few days ago
"
1,"
    ANR SOFTWARE PVT LTD
    
    ",0 - 1 yrs,"
data analytics  ,  information management  ,  sas  ,  spss  ,  data analyst  ,  sql  ,  data science  ,  written communication
        
      ",Noida/Greater Noida,"
Posted few days ago
"
2,"
    legalwiz.in private limited
    
    ",0 - 1 yrs,"
      
          information technology  ,  data mining  ,  data warehousing  ,  storage  ,  dashboards  ,  data analyst  ,  tableau  ,  data visualization
        
      ",Ahmedabad,"
Posted few days ago
"
3,"
    ion trading india pvt. ltd.
    
    ",0 - 3 yrs,"
      
          bi  ,  dashboards  ,  sql  ,  trading systems  ,  software engineering  ,  data visualization  ,  predictive analysis  ,  electronic trading  ,  data analysis  ,  consulting  ,  data analyst  ,  written communication  ,  infrastructure
        
      ",Noida/Greater Noida,"
Posted few days ago
"
4,"
    HyreFox Consultants
    
    ",0 - 3 yrs,"
      
          excel  ,  reports  ,  reporting  ,  monthly reports
        
      ",Jaipur,"
Posted few days ago
"
5,"
    advanced risk analytics private limited
    
    ",0 - 3 yrs,"
      
          visualizing data  ,  data collection  ,  Flood data
",Pune,"
Posted few days ago
"
6,"
    BUSISOL SOURCING INDIA PVT. LTD
    
    ",0 - 3 yrs,"
      
          charts  ,  data mining  ,  formulas  ,  relational database  ,  sql server  ,  reporting services
        
      ",Mumbai,"
Posted few days ago
"
7,"
    kudosindia
    
    ",0 - 3 yrs,"
      
          test cases  ,  database  ,  metrics  ,  component testing
        
      ",Mumbai,"
Posted few days ago
"
8,"
    BUSISOL SOURCING INDIA PVT. LTD
    
    ",0 - 3 yrs,"
      
          reports  ,  charts  ,  data mining  ,  formulas  ,  reporting services  ,  relational database  ,  sql server
        
      ",Delhi,"
Posted few days ago
"
9,"
    Hexanika
    
    ",0 - 3 yrs,"
      
          test data  ,  sql queries  ,  testing  ,  sql
        
      ",Pune,"
Posted few days ago
"
10,"
    APPLYCUP HIRING SOLUTIONS LLP
    
    ",0 - 2 yrs,"
      
          database  ,  bi  ,  sql
        
      ","Delhi,  Delhi/NCR","
Posted few days ago
"
11,"
    mobileforce
    
    ",0 - 3 yrs,"
      
          website  ,  campaigns  ,  google analytics  ,  social media
        
      ",Indonesia,"
Posted few days ago
"
12,"
    Schneider Electric Pvt Ltd
    
    ",0 - 3 yrs,"
data analytics  ,  data analyst  ,  infrastructure  ,  analyst
",Philippines,"
Posted few days ago
"
13,"
    RGF Professional
    
    ",0 - 3 yrs,"
      
          team player  ,   generate hypotheses  ,   Data Analyst
",Gurgaon,"
Posted few days ago
"
14,"
    APPLYCUP HIRING SOLUTIONS LLP
    
    ",0 - 1 yrs,"
      
          visualization  ,  business requirements  ,  bi  ,  dashboards  ,  data analyst  ,  sql  ,  tableau  ,  security
        
      ","Delhi,  Delhi/NCR","
Posted few days ago
"
15,"
    APPLYCUP HIRING SOLUTIONS LLP
    
    ",0 - 3 yrs,"
data analysis  ,  ms access  ,  data analyst  ,  sql  ,  database  ,  vba
        
      ",Surat,"
Posted few days ago
"
16,"
    Schneider Electric Pvt Ltd
    
    ",0 - 3 yrs,"
      
          bi  ,  dashboards  ,  sql  ,  database  ,  java  ,  documenting requirements  ,  data visualization  ,  business environment  ,  data analyst  ,  alteryx  ,  tableau  ,  analyst
",Philippines,"
Posted few days ago
"
17,"
    CAPITAL ONE FINANCIAL SERVICES CLIENT
    
    ",0 - 3 yrs,"
data mining  ,  sql  ,  data science  ,  san  ,  data analysis  ,  data analyst  ,  predictive modeling  ,  analyst
",,"
Posted few days ago
"
18,"
    vinayak solutions pvt. limited
    
    ",0 - 1 yrs,"
      
          visualization  ,  data analysis  ,  business requirements  ,  consulting  ,  bi  ,  dashboards  ,  data analyst  ,  sql  ,  security  ,  tableau
        
      ",Delhi,"
Posted few days ago
"
19,"
    Morgan Stanley Pvt Ltd
    
    ",0 - 3 yrs,"
      
          sql  ,  data visualization  ,  sybase  ,  data analysis  ,  data analyst  ,  tableau  ,  vba  ,  infrastructure  ,  data governance
        
      ",,"
Posted few days ago
"
20,"
    Nielsen Research Ltd. Co.
    
    ",0 - 3 yrs,"
      
          sql  ,  data science  ,  data analytics  ,  data analysis  ,  sas  ,  consulting  ,  data analyst  ,  vba
        
      ",,"
Posted few days ago
"
